timestamp,username,ip_address,status,country,device
2026-04-07T08:15:00,alice,185.23.44.10,FAILED,Germany,Windows 11
2026-04-07T08:16:00,alice,185.23.44.10,FAILED,Germany,Windows 11
2026-04-07T08:17:00,alice,185.23.44.10,FAILED,Germany,Windows 11
2026-04-07T22:43:00,bob,91.198.10.4,SUCCESS,Kosovo,macOS
2026-04-07T22:47:00,bob,91.198.10.4,FAILED,Kosovo,macOS
2026-04-07T23:10:00,carol,77.45.21.9,FAILED,France,Linux
2026-04-07T23:11:00,carol,77.45.21.9,FAILED,France,Linux
2026-04-07T23:12:00,carol,77.45.21.9,FAILED,France,Linux
2026-04-07T23:13:00,carol,77.45.21.9,FAILED,France,Linux
2026-04-07T11:07:00,david,201.8.19.7,FAILED,Brazil,Android
2026-04-07T02:30:00,emma,103.44.55.2,SUCCESS,Singapore,iPhone
2026-04-07T02:35:00,emma,103.44.55.2,FAILED,Singapore,iPhone
2026-04-07T14:00:00,frank,5.188.7.21,FAILED,Russia,Unknown
2026-04-07T14:01:00,frank,5.188.7.21,FAILED,Russia,Unknown
2026-04-07T14:02:00,frank,5.188.7.21,FAILED,Russia,Unknown
2026-04-07T09:40:00,grace,41.22.18.5,SUCCESS,Albania,Windows 10
2026-04-07T09:42:00,grace,41.22.18.5,SUCCESS,Kosovo,Windows 10
